goal,template_id,focus_days
stay_fit,TEMPLATE_STAY_FIT_01,"['Upper Body Strength', 'Light Endurance', 'Lower Body Strength', 'Core + Abs', 'Light Endurance']"
stay_fit,TEMPLATE_STAY_FIT_02,"['Core + Abs', 'Upper Body Strength', 'Light Endurance', 'Lower Body Strength', 'Light Endurance']"
stay_fit,TEMPLATE_STAY_FIT_03,"['Light Endurance', 'Core + Abs', 'Lower Body Strength', 'Upper Body Strength', 'Light Endurance']"
stay_fit,TEMPLATE_STAY_FIT_04,"['Lower Body Strength', 'Light Endurance', 'Upper Body Strength', 'Core + Abs', 'Light Endurance']"
stay_fit,TEMPLATE_STAY_FIT_05,"['Core + Abs', 'Light Endurance', 'Light Endurance', 'Lower Body Strength', 'Upper Body Strength']"
gain_weight,TEMPLATE_GAIN_WEIGHT_01,"['Upper Body Strength', 'Core + Chest', 'Lower Body Strength', 'Light Endurance', 'Full Body Strength']"
gain_weight,TEMPLATE_GAIN_WEIGHT_02,"['Full Body Strength', 'Upper Body Strength', 'Core + Chest', 'Lower Body Strength', 'Light Endurance']"
gain_weight,TEMPLATE_GAIN_WEIGHT_03,"['Light Endurance', 'Upper Body Strength', 'Core + Chest', 'Lower Body Strength', 'Full Body Strength']"
gain_weight,TEMPLATE_GAIN_WEIGHT_04,"['Core + Chest', 'Full Body Strength', 'Upper Body Strength', 'Light Endurance', 'Lower Body Strength']"
gain_weight,TEMPLATE_GAIN_WEIGHT_05,"['Lower Body Strength', 'Core + Chest', 'Light Endurance', 'Upper Body Strength', 'Full Body Strength']"
weight_loss,TEMPLATE_WEIGHT_LOSS_01,"['Cardio', 'Full Body HIIT', 'Core + Lower Body', 'Abs + Upper Body', 'Full Body HIIT']"
weight_loss,TEMPLATE_WEIGHT_LOSS_02,"['Full Body HIIT', 'Cardio', 'Full Body HIIT', 'Core + Lower Body', 'Abs + Upper Body']"
weight_loss,TEMPLATE_WEIGHT_LOSS_03,"['Full Body HIIT', 'Core + Lower Body', 'Abs + Upper Body', 'Full Body HIIT', 'Cardio']"
weight_loss,TEMPLATE_WEIGHT_LOSS_04,"['Full Body HIIT', 'Core + Lower Body', 'Full Body HIIT', 'Abs + Upper Body', 'Cardio']"
weight_loss,TEMPLATE_WEIGHT_LOSS_05,"['Cardio', 'Core + Lower Body', 'Full Body HIIT', 'Abs + Upper Body', 'Full Body HIIT']"
build_muscle,TEMPLATE_BUILD_MUSCLE_01,"['Upper Body Strength', 'Core + Abs', 'Lower Body Strength', 'Cardio', 'Upper Body Strength']"
build_muscle,TEMPLATE_BUILD_MUSCLE_02,"['Lower Body Strength', 'Upper Body Strength', 'Core + Abs', 'Upper Body Strength', 'Cardio']"
build_muscle,TEMPLATE_BUILD_MUSCLE_03,"['Upper Body Strength', 'Lower Body Strength', 'Core + Abs', 'Upper Body Strength', 'Cardio']"
build_muscle,TEMPLATE_BUILD_MUSCLE_04,"['Cardio', 'Upper Body Strength', 'Core + Abs', 'Lower Body Strength', 'Upper Body Strength']"
build_muscle,TEMPLATE_BUILD_MUSCLE_05,"['Upper Body Strength', 'Cardio', 'Core + Abs', 'Lower Body Strength', 'Upper Body Strength']"
