Food Name,Category,GI,GL,Serving Size (g),Carbohydrate (g),Source
Apple (raw, with skin),Fruit,39,5,182 (1 medium),15,International Tables 2021
Banana (ripe),Fruit,51,12,120 (1 medium),23,International Tables 2021
Lentils (boiled),Legumes,29,5,150 (1 cup),18,Harvard Health
White Bread,Bread,75,14,50 (1 slice),19,VeryWell Health
Quinoa (cooked),Grain,53,9,185 (1 cup),17,International Tables 2021
Sweet Potato (baked),Vegetable,94,22,150 (1 medium),24,FoodStruct
Broccoli (steamed),Vegetable,10,1,156 (1 cup),6,Estimated (low-carb, high-fiber)
Pasta (al dente, whole wheat),Pasta,42,10,180 (1 cup cooked),24,International Tables 2021
Chocolate (70% cocoa),Confectionery,25,3,30 (1 oz),12,University of Sydney
Kimchi (fermented cabbage),Regional,15,2,100 (1 cup),10,Estimated (Korean study)
Chapatti (whole wheat),Bread,52,12,70 (1 piece),23,International Tables 2021
Sushi (salmon, rice),Regional,48,10,150 (6 pieces),21,Estimated (Japanese study)
Potato Chips,Snack,56,10,50 (1 oz),18,FoodStruct
Greek Yogurt (full-fat, plain),Dairy,12,2,150 (1 cup),6,International Tables 2021
Mango (raw),Fruit,51,8,165 (1 cup),16,Harvard Health
Biryani (chicken, basmati rice),Regional,58,15,200 (1 cup),26,Estimated (Indian study)
Oatmeal (steel-cut, cooked),Breakfast Cereal,42,8,234 (1 cup),19,VeryWell Health
Pizza (cheese, thin crust),Processed,60,12,100 (1 slice),20,Estimated (average ingredients)
Carrot (raw),Vegetable,39,2,61 (1 medium),5,International Tables 2021
Ice Cream (vanilla),Dessert,38,6,66 (1/2 cup),16,University of Sydney
