Name,Target Muscle,Type,MET Value,Description,Difficulty,Caution,Youtube Links,Time Segment
Child's pose Stretch,Middle Back,Stretching,2,"1. Start on your hands and knees. 2. Bring your big toes together and sit your hips back toward your heels.3. Stretch your arms forward, palms down, and rest your forehead on the floor.4. Relax and take slow, deep breaths.",Beginner,None,https://youtu.be/kH12QrSGedM?si=yrpeBy1m_WeW86LN,
Front and Back Neck Stretch,Middle Back,Stretching,2,1. Sit or stand up tall with your spine straight. 2. Slowly tuck your chin toward your chest to stretch the back of your neck. 3. Hold the stretch for a few seconds. 4. Gently tilt your head back to look up and stretch the front of your neck. 5. Return to center.,Beginner,None,Link not available,
Lateral Neck Stretch,Middle Back,Stretching,2,"1. Sit or stand with a straight back and relaxed shoulders. 2.Hold the top of your head. 3. Tilt your head to one side, bringing your ear toward your shoulder. 4. Hold for several seconds. 4. Return to center and repeat on the opposite side.",Beginner,None,https://youtu.be/cu1d-DH4s2U?si=QzuxpwgeOxiqfxc9,
Shoulder Circles,Quadriceps,Stretching,2,"1. Stand with your feet shoulder-width apart and arms at your sides. 2. Slowly lift your shoulders up toward your ears. 3. Roll your shoulders backward in a circular motion. 4. Repeat for several reps, then reverse the direction.",Beginner,None,https://youtu.be/jDbfuzfdVHM?si=PxrY9DrX2WZ1pKbw,
Ankle Circles,Calves,Mobility,2.3,"1. Sit in a chair or stand and lift one foot off the ground. 2. Rotate your ankle in a slow, controlled clockwise circle. 3. Complete several rotations, then reverse direction. 4. Repeat on the other ankle.",Beginner,None,https://youtu.be/6XX3R9ibBfw?si=eAIl4qcluScV2OSB,
Knee Circles,Adductors,Mobility,2.3,"1. Stand with your feet together and knees slightly bent. 2. Place your hands gently on your knees. 3. Make slow circular motions with both knees together. 4. Complete several clockwise circles, then go counterclockwise.",Beginner,None,https://youtu.be/fM9xWOcEPeQ?si=FGLlfGHkwNFRnwHt,
Wrist Circles stretch,Chest,Stretching,2.3,"1. Extend your arms forward at shoulder height. 2. Make fists with your hands. 3. Slowly rotate your wrists in small circles, clockwise. 4. After several rotations, reverse direction. 5. Shake out your wrists afterward to relax them.",Beginner,None,https://youtu.be/20Y-W5fHPEM?si=td-FzTtm7iJBwv2h,
Seated Hamstring,Hamstrings,Stretching,2.3,"1. Sit on the floor with one leg extended straight. 2. Bend the opposite leg and place the sole of your foot against the inner thigh. 3. Reach forward toward the toes of the extended leg, keeping your back straight. 4. Hold the stretch and repeat on the other leg.",Beginner,None,https://youtube.com/shorts/SS1inIomxis?si=F_NVzG2aQEY-JafG,
Side-Lying Floor Stretch,Middle Back,Stretching,2.3,"1. Lie on your side with your legs stacked and straight. 2. Extend your top arm overhead, reaching away from your body. 3. Keep your hips aligned and stretch through the side of your torso. 4. Hold the position, then switch sides.",Beginner,None,https://youtu.be/a7MTFHGGCtg?si=yrE3zIkSwJ74aNgK,
Standing Pelvic Tilt,Lower Back,Stretching,2.3,"1. Stand with your feet hip-width apart and knees slightly bent. 2. Place your hands on your hips. 3. Gently tuck your pelvis under by tightening your abdominal muscles. 4. Hold for a few seconds, then return to a neutral standing position. 5. Repeat as needed for spinal mobility.",Beginner,None,https://youtu.be/O6R5YRRxwy0?si=lE07osZv9gJNw5fz,
Angel Stretch,Middle Back,Stretching,2.3,1. Stand or sit with your back against a wall and arms raised to shoulder height. 2. Bend your elbows to form a 90-degree angle (like a goalpost). 3. Slowly raise your arms upward while keeping elbows and hands in contact with the wall. 4. Lower them back down and repeat to stretch the chest and shoulders.,Beginner,None,https://youtu.be/1UU4VvklQ44?si=F-ReTtWohzN3zQp6,
Looking at Ceiling Stretch,Quadriceps,Stretching,2.3,"1. Stand or sit with a straight back. 2. Slowly tilt your head back to look up at the ceiling. 3. Keep your shoulders relaxed and chest open. 4. Hold for a few seconds, then return to neutral. 5. Great for neck flexibility and posture.",Beginner,None,Link not available,
Mountain Pose,Quadriceps,Stretching,2.3,"1. Stand tall with feet together and arms at your sides. 2. Spread your toes and evenly distribute weight on both feet. 3. Engage your thighs and lift your chest. 4. Reach your arms overhead, palms facing each other. 5. Breathe deeply and hold the pose to promote body awareness and balance.",Beginner,None,https://youtube.com/shorts/E1xym-F_B84?si=d-0mjTPwZCcvXTiR,
Upward Stretch,Quadriceps,Stretching,2.3,1. Stand with feet hip-width apart. 2. Extend both arms overhead with palms facing inward or together. 3. Reach upward while keeping shoulders down. 4. Engage your core and lengthen through the spine. 5. Hold the stretch and breathe deeply.,Beginner,None,https://youtu.be/rWXy0LjnHbs?si=5WpgN064wo-HGqHV,
Arm Circle,Shoulders,Stretching,2.3,"1. Stand with your arms extended straight out to the sides at shoulder height. 2. Make small, controlled circles with your arms in a forward direction. ",Beginner,None,https://youtube.com/shorts/2h87voO3L_Q?si=tbMrqzhdnElW7fRF,
Elbow Circles,Shoulders,Stretching,2.3,"1. Stand or sit upright with your arms bent and fingertips touching your shoulders.  2. Begin to slowly rotate your elbows in a circular motion forward.  3. Complete several circles, then reverse direction and rotate backwards.  4. Keep your movements smooth and controlled throughout.",Beginner,None,https://youtu.be/3wiZkxriPR0?si=pyDmgyz9_DEzxJmo,
Stomach Vacuum,Abdominals,Core,2.5,"1. Stand or kneel upright with your back straight and shoulders relaxed.  2. Take a deep breath in, then exhale all the air out of your lungs.  3. Without inhaling, pull your belly button in toward your spine as much as possible.  4. Release and repeat as needed.",Beginner,Isometric Hold,https://youtu.be/cub3xhJXsAA?si=x9AvkZFz4S7VIy6A,
Couch Stretch,Quadriceps,Stretching,2.5,"1. Kneel on one knee in front of a couch or wall, with the other foot flat on the floor in front of you.  2. Place the back foot on the couch or wall, shin vertical and toes pointing upward.  3. Slowly rise into a tall kneeling position, keeping your torso upright.  4. Push your hips slightly forward to feel the stretch in the quad and hip flexor of the back leg.  5. Hold the stretch , then switch sides.",Beginner,None,https://youtube.com/shorts/ce-aBv4G7oc?si=I4zNSD2MsfBVWsV9,
Garland Pose,Quadriceps,Strength,2.5,"1. Stand with your feet slightly wider than hip-width apart and turn your toes out slightly.  2. Lower into a deep squat, bringing your hips as low as possible while keeping your heels on the floor.  3. Press your elbows into the inside of your knees and bring your palms together at your chest.  4. Keep your back straight and chest lifted.  5. Hold the pose and breathe deeply.",Beginner,None,https://youtube.com/shorts/kWfkAnvp4LA?si=z4PRmGOC42UIMQn_,
